,Unnamed: 0,title,description,price,rating,review,img5,categories
25,25,Samsung Refrigerator RR20T282ZU8/IM 192L Single Door,"Direct Cooling Refrigerator
Toughened Glass Material
Ice Maker/Egg Tray/Interior Light
Fresh Room/Base Drawer Stand
Non Cooling Basket
Ice Tray
1 year full warranty
5 years warranty on compressor",41490,no rating,no review, https://cdn.sastodeal.com/catalog/product/7/_/7_63_1.jpg,Kitchen Appliences
26,26,Samsung RR19T25CA6U/Im 192L Single Door Refrigerator- Blue,"Color: Blue
Fast ice making
Insulated cappliary technology
Extra large cold freezer
12 hrs. Cooling retention
Capacity: 192 LTRS
Door Type:Single Door
Cooling Type: External Condenser",36990,no rating,no review, https://cdn.sastodeal.com/catalog/product/7/_/7_63_1.jpg,Kitchen Appliences
27,27,Whirlpool 190 L Direct Cool Single Door 2 Star Refrigerator (Wine Abyss 200 IMPC Roy 2S Wine Abyss,"Refrigerator Type:Top Mount
Defrosting Type:Direct Cool
Compressor Type:NORMAL COMPRESSOR
Capacity:185 L
Number of Doors:1
Star Rating:2
Coolpad:no
Toughened Glass:yes
Built-in Stabilizer:Yes
Power Features:BEE Rating Year 2019",35350,no rating,no review, https://cdn.sastodeal.com/catalog/product/7/_/7_63_1.jpg,Kitchen Appliences
28,28,Whirlpool 185L 200 IMPC ROY 2S CHROMIUM STEEL,"2 Star
Fast cooling
12 hours cooling backup
Stabilizer free Operation.
10 years of Warranty in compressor",34070,no rating,no review, https://cdn.sastodeal.com/catalog/product/7/_/7_63_1.jpg,Kitchen Appliences
29,29,Whirlpool 200 Impc Prm 2S Grey Titanium 185L,"Direct Cool
Single Door: Economical requires manual defrosting
Cacapity: 185L
Suitable for families with 2-3 members
Warranty: 1 year on product 10 years on compressor
Energy Rating: 3 Star
Shelf Type: Toughened Glass
Also included in the box: User manual Warranty card",31810,no rating,no review, https://cdn.sastodeal.com/catalog/product/7/_/7_63_1.jpg,Kitchen Appliences
30,30,Whirlpool 200 Impc Prm 2S Wine Titanium 185L,"Direct Cool
Single Door: Economical requires manual defrosting
Cacapity: 185L
Suitable for families with 2-3 members
Warranty: 1 year on product 10 years on compressor
Energy Rating: 3 Star
Shelf Type: Toughened Glass
Also included in the box: User manual Warranty card",31810,no rating,no review, https://cdn.sastodeal.com/catalog/product/7/_/7_63_1.jpg,Kitchen Appliences
31,31,Whirlpool 200 Impc CLS 3S Grey NEP,"Direct Cool
Single Door: Economical requires manual defrosting
Capacity 185 L
Suitable for families with 2-3 members
Warranty: 1 year on product 5 years on compressor
Energy Rating: 3 Star
Shelf Type: Toughened Glass",28620,no rating,no review, https://cdn.sastodeal.com/catalog/product/7/_/7_63_1.jpg,Kitchen Appliences
32,32,Whirlpool 260 L Frost Free Multi-Door Refrigerator(FP283 PROTTON ROY WINE STREAM),"Frost Free Multi-Door: Auto defrost to stop ice-build up
Capacity 260 L: Suitable for families with 2-3 members
Warranty: 1 year on product 10 years on compressor
Shelf Type: Toughened Glass
Also included in the box: User manual Warranty card",65150,no rating,no review, https://cdn.sastodeal.com/catalog/product/7/_/7_63_1.jpg,Kitchen Appliences
33,33,Whirlpool Double Door Refrigerator 292 Ltr NEO 305GD PRM CRYSTAL MIRROR (2S),"Frost-free refrigerator; 292 litres capacity
Energy Rating: 2 Star
Warranty: 1 year on product 10 years on compressor
6th Sense Deepfreeze Technology & Chilling gel : This prevents cold air from escaping when the freezer door is opened. The unique chilling gel in the freezer helps retain the cooling during powercuts
12 Days of Garden Freshness Experience up to 12 days of garden freshness powered by Freshflow Air Tower with Flexi Vents Honeycomb design with Moisture Control System and Microblock Technology
FRESH FLOW AIR TOWER WITH FLEXI VENTS: This scientifically designed air tower & strategically placed vents let out cool and fresh air into different sections of the refrigerator providing Cooling",72870,no rating,no review, https://cdn.sastodeal.com/catalog/product/7/_/7_63_1.jpg,Kitchen Appliences
34,34,Whirlpool Double Door Refrigerator 265Ltr NEO 278GD PRM CRYSTAL MIRROR 2S,no description,64670,no rating,no review, https://cdn.sastodeal.com/catalog/product/7/_/7_63_1.jpg,Kitchen Appliences
35,35,Whirlpool Neo Fresh Double Door Refrigerator 265 Ltr. - NEO 278LH CLS PLUS WINE CHROMIUM,"6th Sense Deep Freeze Technology
Fress flow air Toer ith flexi Vents
Upto 12 Days off Garen Freshness
Upto 40% Faster Colling
Microblock Techmology
Active Deo
ICE Twister with collector
Chilling Gel
Honeycomb Desigen
Stabiliezer-free Operaction
10 Years Warranty on Compresser
265 Litres 2 Star Vario Inverter Technology",56090,no rating,no review, https://cdn.sastodeal.com/catalog/product/7/_/7_63_1.jpg,Kitchen Appliences
36,36,Whirlpool NEO 278LH CLS Plus Chromium Steel 265Ltr Double Door Refrigerator,no description,56080,no rating,no review, https://cdn.sastodeal.com/catalog/product/7/_/7_63_1.jpg,Kitchen Appliences
37,37,Whirlpool Refrigerator 245 ltrs NEO 258 LH CLS Plus Wine Chromium,"Frost Free Double Door refrigerator; 245 litres capacity 2 Star Ice Twister & Collector Chilling Gel
6th SENSE Deep Freeze Technology - Whirlpools 6th SENSE DeepFreeze Technology works to achieve the coldest temperature without consuming too much energy
Stabilizer free operation: Whirlpool refrigerators can stably operate even in high fluctuation of voltage (130v-300v) and do not require a separate stabilizer
Freshflow Flexi-vents with Antibacterial Filters- Ensure that your entire refrigerator is uniformly cooled thanks to its strategically placed vents. These vents let out cool and fresh air into different compartments of the fridge.",48160,no rating,no review, https://cdn.sastodeal.com/catalog/product/7/_/7_63_1.jpg,Kitchen Appliences
38,38,Konka Showcase Freezer 350 Ltr KSC 350,"Capacity: 350 Ltr
Convenient to store food
Elegant and Exquisite Design
Single Door Showcase Freezer
Advanced Compressor Freezing Technology for Quick Refrigeration
Built-in Shelves
Deep Cooling and Quick Freezing
Freon Free",94590,no rating,no review, https://cdn.sastodeal.com/catalog/product/7/_/7_63_1.jpg,Kitchen Appliences
39,39,Konka Showcase Freezer 310 Ltr KSC 310,"Single Door Showcase Freezer
Built-in Shelves
Deep Cooling and Quick Freezing
Convenient to store food
Elegant and Exquisite Design
Freon Free
Advanced Compressor Freezing Technology for Quick Refrigeration",90390,no rating,no review, https://cdn.sastodeal.com/catalog/product/7/_/7_63_1.jpg,Kitchen Appliences
40,40,Konka Showcase Freezer 250 Ltr KSC 250,no description,76490,no rating,no review, https://cdn.sastodeal.com/catalog/product/n/e/new_project_19_.jpg,Kitchen Appliences
41,41,Konka Refrigerator 230 Ltrs Single Door KRF 230B,"Multi Air Flow System
Environment Friendly Technology
Highly Efficient Compressor Minimum Sound
Resourceful & Large Storage Space
3 Star Rating
Stabiliser Free Operation
PCM Finish
Opaque Accessories
Inbuilt Door Shelves
Anti-Bacterial Removable Door Gasket",39690,no rating,no review, https://cdn.sastodeal.com/catalog/product/n/e/new_project_19_.jpg,Kitchen Appliences
42,42,Konka KCF 520 500 Ltrs Chest Freezer,"Capacity: 500L
A&A+&A++ Energy Class Insulation Layers Extremely Energy Efficient
Deep Cooling and Quick Freezing
Convenient to store food
Elegant and Exquisite Design
Freon Free
Frozen Temperature- 18°C
Stainless Steel Interior
Advanced Compressor Freezing Technology for Quick Refrigeration
Balanced Hinge for comfortable handing when opening the freezer",91790,no rating,no review, https://cdn.sastodeal.com/catalog/product/n/e/new_project_19_.jpg,Kitchen Appliences
43,43,Konka KCF 327 320 Ltrs Chest Freezer,"Capacity: 320L
A&A+&A++ Energy Class Insulation Layers Extremely Energy Efficient
Deep Cooling and Quick Freezing
Convenient to store food
Elegant and Exquisite Design
Freon Free
Frozen Temperature- 18°C
Stainless Steel Interior
Advanced Compressor Freezing Technology for Quick Refrigeration
Balanced Hinge for comfortable handing when opening the freezer",54190,no rating,no review, https://cdn.sastodeal.com/catalog/product/n/e/new_project_19_.jpg,Kitchen Appliences
44,44,Konka KCF 105 Chest Freezer 105 Ltrs,"Capacity: 105L
A&A+&A++ Energy Class Insulation Layers Extremely Energy Efficient
Deep Cooling and Quick Freezing
Convenient to store food
Elegant and Exquisite Design
Freon Free
Frozen Temperature- 18°C
Stainless Steel Interior
Advanced Compressor Freezing Technology for Quick Refrigeration
Balanced Hinge for comfortable handing when opening the freezer
Wheels provide easy mobility",30590,no rating,no review, https://cdn.sastodeal.com/catalog/product/n/e/new_project_19_.jpg,Kitchen Appliences
45,45,Samsung Refrigerator Top Mount Freezer with Digital Inverter 275 L RT30K3342S8/IM,no description,65990,no rating,no review, https://cdn.sastodeal.com/catalog/product/n/e/new_project_19_.jpg,Kitchen Appliences
46,46,Samsung 253L Double Door Refrigerator RT28A32216R/IM,no description,60990,no rating,no review, https://cdn.sastodeal.com/catalog/product/n/e/new_project_19_.jpg,Kitchen Appliences
47,47,Samsung Refrigerator 230L(RR24A272ZCU/IM),no description,44490,no rating,no review, https://cdn.sastodeal.com/catalog/product/n/e/new_project_19_.jpg,Kitchen Appliences
48,48,Samsung 579 L Inverter Frost-Free French Door Refrigerator (RF57A5232SL/TL Real Stainless Convertible) Silver,no description,299990,no rating,no review, https://cdn.sastodeal.com/catalog/product/n/e/new_project_19_.jpg,Kitchen Appliences
